identifier,final_title,part_number,date,publisher,pubplace,County1,City1,CitySection1,County2,City2,CitySection2,County3,City3,CitySection3,County4,City4,CitySection4,County5,City5,CitySection5,County6,City6,CitySection6,County7,City7,CitySection7,County8,City8,CitySection8,County9,City9,CitySection9,County10,City10,CitySection10,County11,City11,CitySection11,County12,City12,CitySection12,County13,City13,CitySection13,County14,City14,CitySection14,County15,City15,CitySection15,County16,City16,CitySection16,County17,City17,CitySection17,County18,City18,CitySection18,County19,City19,CitySection19,County20,City20,CitySection20,streets,features
24v0313b,Garfield,Plate 13 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kincaid st, Breesport (Beach) st, Columbia st , Hillcrest (Breeds Hill) st, N Atlantic ave, Shamrock way, Gretna way, Rosetta st, Brown way, Ingleside ave, N Evaline st, Fern st, N Winebiddle st, Penn ave, Gem way, Dearborn st, Alhambra way, Broad (Dauphin) st, Jordan way, N Pacific ave ","Block ""A"", Block ""B"", Steps, Steps, Steps, Block ""C"", Steps, Steps, Steps,"
24v0314a,Garfield,Plate 14 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sullivan st, Mossfield (Morningside ave) st, Stieb way, Nora way, Aisbett st, Colombo st, N Evaline st, Breesport (Beach) st, Colombo st (Margaretta), N Pacific ave, Schenley ave, Luzerne st, N Mathilda st ","Allegheny Cemetery, Steps, "
24v0314b,Garfield,Plate 14 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fannel st, Columbo (Margaretta) st, Cornwall (Cornell) st, Edgar way, Fork way, Warble st, McNinch way, Columbo st, Hillcrest (Breeds Hill) st, Shamrock way, Mossfield (Morningside ave) st, Wicklow st, Ingleside ave, N Rebecca st, Danna st, N Atlantic ave, Elora way, Perth st, Breesport (Beach) st, N Pacific ave, Stieb way, Schenley ave, Nora way, Black st, Rosetta st ","Steps, Steps, Tennis Courts, Allegheny Cemetery, "
24v0315a,Stanton Heights,Plate 15 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Stanton Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawthorne st, Stanton ave, Coleridge st, Somerville st, Black st, Waldo way, Brintell (Brighton) st, Oranmore st, Arcade way, Sulphite (Superior) way ","Golf Grounds, Allegheny Cemetery, "
24v0315b,Morningside,Plate 15 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Morningside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beatrice st, Stanton ave, Wellesley st, Bryant st, Jancey st, Snow way, Morningside ave, Duffield st, Black st, Mossfield (Morningside ave) st, Heth's (Haights) ave, Swan way, Chislett st, N Rebecca st, Kalamazoo way, Hampton st ","Allegheny Cemetery, Steps, "
24v0316a,Upper Lawerenceville,Plate 16 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Upper Lawrenceville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kent way, Keystone st, Holmes st, Duncan st, Celadine st, 53rd st, McCandless st, 52nd st, Lotus way, Poe way, Wickliffe st, Larue way, Alford way, Bissell way, Stanton ave ","Allegheny Cemetery, Steps, Steps, Steps, "
24v0316b,Upper Lawerenceville,Plate 16 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Upper Lawrenceville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kent st, Leydon (Lewis) st, Price way, 54th st, Pell way, 56th st, 55th st, Kent way, Holmes st, Lotus way, McCandless st, Poe way, Wickliffe st, 53rd st, Celadine st, Alford way, Camelia st, Duncan st, Stanton ave, Keystone st ","Steps, Steps, Steps, Steps, "
24v0317a,Upper Lawerenceville,Plate 17 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Upper Lawrenceville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harrison st, Carnegie st, Keystone st, Stanton ave, 52nd st, Butler st, Berlin way, 51st st, Oasis way, Ruby st, Natrona way, Dresden way, McCandless st, Strasburg st ","Pennsylvania System, Allegheny Valley Railroad, Harbor Line, Allegheny River"
24v0317b,Upper Lawerenceville,Plate 17 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Upper Lawrenceville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53rd st, 54th st, Keystone st, McCandless st, 55th st, Carnegie st, Butler st, Berlin way, Dresden way, Natrona way ","Harbor Line, Steps, Allegheny Valley Railroad, Pennsylvania System, Allegheny River"
24v0318a,Upper Lawerenceville,Plate 18 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Upper Lawrenceville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Duncan st, Donson (Dresden) way, 57th st, 56th st, 55th st, Wickliffe st, Natrona way, Carnegie st, Butler st, Berlin way, Harrison st, Celadine st ","Steps, Pennsylvania System, Steps, Steps, Allegheny Valley Railroad, Allegheny River"
24v0318b,"Upper Lawerenceville, Stanton Heights",Plate 18 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Upper Lawrenceville,Allegheny County (Pa.),Pittsburgh,Stanton Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drive st, Butler st, Drive way, Christopher st, Donson (Dresden) way, 57th st ","Allegheny Valley Railroad, Pennsylvania System, Steps, Allegheny River"
